LocalTime, GPSTime, ESSID, BSSID, Power, Security, Latitude, Longitude, Latitude Error, Longitude Error, Type
2023-11-18 00:11:35,1900-01-00 00:00:00,,C0:05:C2:E4:B3:A1,-39, ,0.000000,0.000000,0.000,0.000,AP
2023-11-18 00:11:35,1900-01-00 00:00:00,VTR-3633500,C0:05:C2:E4:B3:A1,-40, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2023-11-18 00:11:36,1900-01-00 00:00:00,VTR-3633500,C0:05:C2:E4:B3:A1,-40, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2023-11-18 00:11:36,1900-01-00 00:00:00,VTR-3633500,C0:05:C2:E4:B3:A1,-38, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2023-11-18 00:11:36,1900-01-00 00:00:00,VTR-3633500,C0:05:C2:E4:B3:A1,-38, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2023-11-18 00:11:36,1900-01-00 00:00:00,VTR-3633500,C0:05:C2:E4:B3:A1,-38, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2023-11-18 00:11:36,1900-01-00 00:00:00,VTR-3633500,C0:05:C2:E4:B3:A1,-39, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2023-11-18 00:11:37,1900-01-00 00:00:00,VTR-3633500,C0:05:C2:E4:B3:A1,-38, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2023-11-18 00:11:38,1900-01-00 00:00:00,VTR-3633500,C0:05:C2:E4:B3:A1,-38, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2023-11-18 00:11:38,1900-01-00 00:00:00,VTR-3633500,C0:05:C2:E4:B3:A1,-38, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2023-11-18 00:11:38,1900-01-00 00:00:00,VTR-3633500,C0:05:C2:E4:B3:A1,-39, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2023-11-18 00:11:39,1900-01-00 00:00:00,VTR-3633500,C0:05:C2:E4:B3:A1,-42, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2023-11-18 00:11:39,1900-01-00 00:00:00,VTR-3633500,C0:05:C2:E4:B3:A1,-43, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2023-11-18 00:11:40,1900-01-00 00:00:00,VTR-3633500,C0:05:C2:E4:B3:A1,-37, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2023-11-18 00:11:40,1900-01-00 00:00:00,VTR-3633500,C0:05:C2:E4:B3:A1,-39, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2023-11-18 00:11:41,1900-01-00 00:00:00,VTR-3633500,C0:05:C2:E4:B3:A1,-37, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2023-11-18 00:11:41,1900-01-00 00:00:00,VTR-3633500,C0:05:C2:E4:B3:A1,-37, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2023-11-18 00:11:41,1900-01-00 00:00:00,VTR-3633500,C0:05:C2:E4:B3:A1,-40, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2023-11-18 00:11:42,1900-01-00 00:00:00,VTR-3633500,C0:05:C2:E4:B3:A1,-39, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2023-11-18 00:11:42,1900-01-00 00:00:00,,42:85:82:0A:19:3B,-53,,0.000000,0.000000,0.000,0.000,Client
2023-11-18 00:11:43,1900-01-00 00:00:00,VTR-3633500,C0:05:C2:E4:B3:A1,-43, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2023-11-18 00:11:45,1900-01-00 00:00:00,VTR-3633500,C0:05:C2:E4:B3:A1,-40, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2023-11-18 00:11:45,1900-01-00 00:00:00,VTR-3633500,C0:05:C2:E4:B3:A1,-39, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2023-11-18 00:11:46,1900-01-00 00:00:00,VTR-3633500,C0:05:C2:E4:B3:A1,-40, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2023-11-18 00:11:46,1900-01-00 00:00:00,VTR-3633500,C0:05:C2:E4:B3:A1,-43, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2023-11-18 00:11:46,1900-01-00 00:00:00,VTR-3633500,C0:05:C2:E4:B3:A1,-43, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2023-11-18 00:11:47,1900-01-00 00:00:00,VTR-3633500,C0:05:C2:E4:B3:A1,-40, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2023-11-18 00:11:48,1900-01-00 00:00:00,VTR-3633500,C0:05:C2:E4:B3:A1,-39, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2023-11-18 00:11:48,1900-01-00 00:00:00,VTR-3633500,C0:05:C2:E4:B3:A1,-39, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2023-11-18 00:11:48,1900-01-00 00:00:00,VTR-3633500,C0:05:C2:E4:B3:A1,-40, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2023-11-18 00:11:48,1900-01-00 00:00:00,VTR-3633500,C0:05:C2:E4:B3:A1,-39, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2023-11-18 00:11:49,1900-01-00 00:00:00,VTR-3633500,C0:05:C2:E4:B3:A1,-39, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2023-11-18 00:11:49,1900-01-00 00:00:00,VTR-3633500,C0:05:C2:E4:B3:A1,-39, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2023-11-18 00:11:49,1900-01-00 00:00:00,VTR-3633500,C0:05:C2:E4:B3:A1,-40, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2023-11-18 00:11:49,1900-01-00 00:00:00,VTR-3633500,C0:05:C2:E4:B3:A1,-40, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2023-11-18 00:11:50,1900-01-00 00:00:00,VTR-3633500,C0:05:C2:E4:B3:A1,-40, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2023-11-18 00:11:50,1900-01-00 00:00:00,VTR-3633500,C0:05:C2:E4:B3:A1,-44, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2023-11-18 00:11:50,1900-01-00 00:00:00,VTR-3633500,C0:05:C2:E4:B3:A1,-38, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2023-11-18 00:11:51,1900-01-00 00:00:00,VTR-3633500,C0:05:C2:E4:B3:A1,-55, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2023-11-18 00:11:51,1900-01-00 00:00:00,VTR-3633500,C0:05:C2:E4:B3:A1,-38, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2023-11-18 00:11:52,1900-01-00 00:00:00,VTR-3633500,C0:05:C2:E4:B3:A1,-38, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2023-11-18 00:11:52,1900-01-00 00:00:00,VTR-3633500,C0:05:C2:E4:B3:A1,-36, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2023-11-18 00:11:54,1900-01-00 00:00:00,VTR-3633500,C0:05:C2:E4:B3:A1,-42, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2023-11-18 00:11:55,1900-01-00 00:00:00,VTR-3633500,C0:05:C2:E4:B3:A1,-39, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2023-11-18 00:11:55,1900-01-00 00:00:00,VTR-3633500,C0:05:C2:E4:B3:A1,-37, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2023-11-18 00:11:56,1900-01-00 00:00:00,VTR-3633500,C0:05:C2:E4:B3:A1,-39, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2023-11-18 00:11:56,1900-01-00 00:00:00,VTR-3633500,C0:05:C2:E4:B3:A1,-38, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2023-11-18 00:11:56,1900-01-00 00:00:00,VTR-3633500,C0:05:C2:E4:B3:A1,-40, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2023-11-18 00:11:56,1900-01-00 00:00:00,VTR-3633500,C0:05:C2:E4:B3:A1,-39, WPA2 ,0.000000,0.000000,0.000,0.000,AP
